date,actual,predicted,position,strategy_ret,buyhold_ret,strategy_equity,buyhold_equity
2024-04-01,0.0011139188,0.03205443,1.0,0.0011139188,0.0011139188,1.0011139,1.0011139
2024-04-02,-0.0016887164,0.031318616,1.0,-0.0016887164,-0.0016887164,0.99942327,0.9999981
2024-04-03,0.016915658,0.025893692,1.0,0.016915658,0.016915658,1.0163292,0.99999994
2024-04-04,-0.01201388,0.010007774,1.0,-0.01201388,-0.01201388,1.0041192,1.0
2024-04-05,0.0029608805,0.0064460314,1.0,0.0029608805,0.0029608805,1.0070922,1.0
2024-04-08,-0.012123712,0.00063262193,1.0,-0.012123712,-0.012123712,0.9948825,1.0
2024-04-09,0.013764798,0.0049462635,1.0,0.013764798,0.013764798,1.0085769,1.0
2024-04-10,-0.0146927275,-0.005715613,-1.0,0.0146927275,-0.0146927275,1.0233957,1.0
2024-04-12,-0.0035444673,0.0018475667,1.0,-0.0035444673,-0.0035444673,1.0197682,1.0
2024-04-15,-0.0050754542,-0.010154442,-1.0,0.0050754542,-0.0050754542,1.0249441,1.0
2024-04-16,-0.007911144,-0.0027062374,-1.0,0.007911144,-0.007911144,1.0330524,1.0
2024-04-18,0.00030284913,-0.00943328,-1.0,-0.00030284913,0.00030284913,1.0327396,1.0
2024-04-19,0.01178683,-0.018418293,-1.0,-0.01178683,0.01178683,1.0205669,1.0
2024-04-22,0.011562563,-0.020931289,-1.0,-0.011562563,0.011562563,1.0087665,1.0
2024-04-23,-0.0024901147,-0.017043313,-1.0,0.0024901147,-0.0024901147,1.0112785,1.0
2024-04-24,-0.0021992573,-0.0049073473,-1.0,0.0021992573,-0.0021992573,1.0135026,1.0
2024-04-25,-0.0060642534,-0.0023653072,-1.0,0.0060642534,-0.0060642534,1.0196488,1.0
2024-04-26,0.0084204655,-0.018067436,-1.0,-0.0084204655,0.0084204655,1.0110629,1.0
2024-04-29,0.0026809312,-0.017565891,-1.0,-0.0026809312,0.0026809312,1.0083523,1.0
2024-04-30,0.03401282,-0.013533518,-1.0,-0.03401282,0.03401282,0.9740554,1.0
2024-05-02,-0.015461304,-0.0029095353,-1.0,0.015461304,-0.015461304,0.9891156,1.0
2024-05-03,0.00081884995,0.0027302143,1.0,0.00081884995,0.00081884995,0.9899255,1.0
2024-05-06,-0.006552539,0.0071446076,1.0,-0.006552539,-0.006552539,0.983439,1.0
2024-05-07,-0.024218107,0.007990341,1.0,-0.024218107,-0.024218107,0.959622,1.0
2024-05-08,-0.04797975,0.0026259671,1.0,-0.04797975,-0.04797975,0.9135796,1.0
2024-05-09,0.02231285,0.008458439,1.0,0.02231285,0.02231285,0.9339642,1.0
2024-05-10,0.038231492,-0.003842883,-1.0,-0.038231492,0.038231492,0.8982574,1.0
2024-05-13,-0.004560255,0.008410054,1.0,-0.004560255,-0.004560255,0.8941611,1.0
2024-05-14,-0.018469317,-0.01892626,-1.0,0.018469317,-0.018469317,0.91067564,1.0
2024-05-15,0.00012436355,-0.032834608,-1.0,-0.00012436355,0.00012436355,0.9105624,1.0
2024-05-16,-0.0014758232,-0.028654817,-1.0,0.0014758232,-0.0014758232,0.91190624,1.0
2024-05-17,0.014801502,-0.034403194,-1.0,-0.014801502,0.014801502,0.89840865,1.0
2024-05-21,0.011834477,-0.024526421,-1.0,-0.011834477,0.011834477,0.88777643,1.0
2024-05-22,0.006218151,-0.019699588,-1.0,-0.006218151,0.006218151,0.8822561,1.0
2024-05-23,-0.010037201,-0.03806574,-1.0,0.010037201,-0.010037201,0.89111143,1.0
2024-05-24,-0.0008527365,-0.029798035,-1.0,0.0008527365,-0.0008527365,0.8918713,1.0
2024-05-27,0.013452306,-0.016180538,-1.0,-0.013452306,0.013452306,0.8798736,1.0
2024-05-28,-0.003802875,-0.006276443,-1.0,0.003802875,-0.003802875,0.88321966,1.0
2024-05-29,-0.005688307,-0.0039322,-1.0,0.005688307,-0.005688307,0.8882437,1.0
2024-05-30,-0.0008673899,-0.0002598533,-1.0,0.0008673899,-0.0008673899,0.8890141,1.0
2024-05-31,-0.0051325415,-0.012478142,-1.0,0.0051325415,-0.0051325415,0.89357704,1.0
2024-06-03,-0.0030747028,-0.007547121,-1.0,0.0030747028,-0.0030747028,0.89632446,1.0
2024-06-04,0.035780746,0.007409327,1.0,0.035780746,0.035780746,0.9283956,1.0
2024-06-05,-0.019415736,-0.052576024,-1.0,0.019415736,-0.019415736,0.9464211,1.0
2024-06-06,0.00785247,-0.02923198,-1.0,-0.00785247,0.00785247,0.93898934,1.0
2024-06-07,0.0033588642,-0.04799388,-1.0,-0.0033588642,0.0033588642,0.9358354,1.0
2024-06-10,-0.0023917535,-0.022291077,-1.0,0.0023917535,-0.0023917535,0.93807364,1.0
2024-06-11,0.0011535164,-0.001221036,-1.0,-0.0011535164,0.0011535164,0.9369915,1.0
2024-06-12,0.0014443324,0.017689332,1.0,0.0014443324,0.0014443324,0.93834484,1.0
2024-06-13,0.0039785164,0.017129354,1.0,0.0039785164,0.0039785164,0.94207805,1.0
2024-06-14,-0.0010617491,0.011831072,1.0,-0.0010617491,-0.0010617491,0.9410778,1.0
2024-06-18,-0.009225269,0.008760555,1.0,-0.009225269,-0.009225269,0.9323962,1.0
2024-06-19,0.008196773,0.0030083952,1.0,0.008196773,0.008196773,0.94003886,1.0
2024-06-20,-0.008490595,0.0033955516,1.0,-0.008490595,-0.008490595,0.9320573,1.0
2024-06-21,0.0017971104,-0.0039500794,-1.0,-0.0017971104,0.0017971104,0.9303823,1.0
2024-06-24,-0.013068318,0.0061668814,1.0,-0.013068318,-0.013068318,0.9182238,1.0
2024-06-25,0.0017128825,0.0019990855,1.0,0.0017128825,0.0017128825,0.91979665,1.0
2024-06-26,0.00609314,0.0036692966,1.0,0.00609314,0.00609314,0.9254011,1.0
2024-06-27,0.012487342,-0.008138697,-1.0,-0.012487342,0.012487342,0.9138453,1.0
2024-06-28,0.0036784653,-0.004725875,-1.0,-0.0036784653,0.0036784653,0.9104838,1.0
2024-07-01,-0.00075160584,-0.0011704027,-1.0,0.00075160584,-0.00075160584,0.9111681,1.0
2024-07-02,-1.7216364e-05,-0.0023547064,-1.0,1.7216364e-05,-1.7216364e-05,0.9111837,1.0
2024-07-03,0.0031909528,-0.0046984362,-1.0,-0.0031909528,0.0031909528,0.9082762,1.0
2024-07-04,0.00034071138,-0.0060657985,-1.0,-0.00034071138,0.00034071138,0.90796673,1.0
2024-07-05,-0.012941581,-0.0071821543,-1.0,0.012941581,-0.012941581,0.91971725,1.0
2024-07-08,0.0023607935,-0.0055384915,-1.0,-0.0023607935,0.0023607935,0.917546,1.0
2024-07-09,0.030994834,-0.0007931619,-1.0,-0.030994834,0.030994834,0.8891068,1.0
2024-07-10,0.008507251,-0.0022915492,-1.0,-0.008507251,0.008507251,0.881543,1.0
2024-07-11,-0.0076066195,-0.0049250294,-1.0,0.0076066195,-0.0076066195,0.88824856,1.0
2024-07-12,-0.014322705,-0.0044775466,-1.0,0.014322705,-0.014322705,0.90097076,1.0
2024-07-15,0.0060530533,-0.0034364813,-1.0,-0.0060530533,0.0060530533,0.8955172,1.0
2024-07-16,-0.01452781,-0.009273042,-1.0,0.01452781,-0.01452781,0.9085271,1.0
2024-07-18,0.0049338886,-0.002586065,-1.0,-0.0049338886,0.0049338886,0.9040445,1.0
2024-07-19,-0.003996248,-0.016732123,-1.0,0.003996248,-0.003996248,0.9076573,1.0
2024-07-22,-0.012758715,-0.0031830242,-1.0,0.012758715,-0.012758715,0.91923785,1.0
2024-07-23,0.0054045916,0.007741065,1.0,0.0054045916,0.0054045916,0.92420596,1.0
2024-07-24,-0.0039215484,0.007205336,1.0,-0.0039215484,-0.0039215484,0.92058164,1.0
2024-07-25,0.016662642,-0.0012517063,-1.0,-0.016662642,0.016662642,0.9052423,1.0
2024-07-26,0.0015411248,-0.020299613,-1.0,-0.0015411248,0.0015411248,0.9038472,1.0
2024-07-29,0.016897105,-0.017431559,-1.0,-0.016897105,0.016897105,0.88857484,1.0
2024-07-30,0.026079167,-0.018577918,-1.0,-0.026079167,0.026079167,0.86540157,1.0
2024-07-31,0.0048190947,-0.014254011,-1.0,-0.0048190947,0.0048190947,0.8612311,1.0
2024-08-01,0.0023686423,-0.0073037916,-1.0,-0.0023686423,0.0023686423,0.8591912,1.0
2024-08-02,-0.0042902865,-0.00927194,-1.0,0.0042902865,-0.0042902865,0.8628774,1.0
2024-08-05,0.0026956836,-0.005485558,-1.0,-0.0026956836,0.0026956836,0.8605514,1.0
2024-08-06,-9.6792566e-05,-0.0049804114,-1.0,9.6792566e-05,-9.6792566e-05,0.86063474,1.0
2024-08-07,-0.03145902,-0.0045910585,-1.0,0.03145902,-0.03145902,0.88770944,1.0
2024-08-08,0.011644222,-0.002573313,-1.0,-0.011644222,0.011644222,0.87737274,1.0
2024-08-09,0.0041352483,0.00195718,1.0,0.0041352483,0.0041352483,0.8810009,1.0
2024-08-12,-0.009758471,0.006843843,1.0,-0.009758471,-0.009758471,0.8724037,1.0
