date,actual,predicted,position,strategy_ret,buyhold_ret,strategy_equity,buyhold_equity
2024-04-01,-0.0056183646,0.0006668458,1.0,-0.0056183646,-0.0056183646,0.9943816,0.9943816
2024-04-02,0.0152104525,0.0016438877,1.0,0.0152104525,0.0152104525,1.0095067,0.9999145
2024-04-03,-0.00028222616,0.0017766103,1.0,-0.00028222616,-0.00028222616,1.0092218,1.0
2024-04-04,-0.0036286053,0.0022088503,1.0,-0.0036286053,-0.0036286053,1.0055597,1.0
2024-04-05,0.01587755,0.0019161758,1.0,0.01587755,0.01587755,1.0215255,1.0
2024-04-08,0.0036640053,0.0021951771,1.0,0.0036640053,0.0036640053,1.0252684,1.0
2024-04-09,0.00719642,0.0024521258,1.0,0.00719642,0.00719642,1.0326467,1.0
2024-04-10,-0.013279683,0.0028703036,1.0,-0.013279683,-0.013279683,1.0189334,1.0
2024-04-12,-0.014544683,0.0031215246,1.0,-0.014544683,-0.014544683,1.0041133,1.0
2024-04-15,-0.005734909,0.0034068075,1.0,-0.005734909,-0.005734909,0.9983548,1.0
2024-04-16,-0.02688162,0.0034831844,1.0,-0.02688162,-0.02688162,0.9715174,1.0
2024-04-18,0.004968144,0.00356202,1.0,0.004968144,0.004968144,0.97634405,1.0
2024-04-19,0.023860272,0.0034410232,1.0,0.023860272,0.023860272,0.9996398,1.0
2024-04-22,0.0017064852,0.0029192914,1.0,0.0017064852,0.0017064852,1.0013456,1.0
2024-04-23,0.007078849,0.0025714324,1.0,0.007078849,0.007078849,1.008434,1.0
2024-04-24,0.058228992,0.002547841,1.0,0.058228992,0.058228992,1.0671542,1.0
2024-04-25,0.0029238611,0.0025793815,1.0,0.0029238611,0.0029238611,1.0702744,1.0
2024-04-26,0.025290191,0.0031396002,1.0,0.025290191,0.025290191,1.0973419,1.0
2024-04-29,0.00572014,-0.00039974484,-1.0,-0.00572014,0.00572014,1.0910649,1.0
2024-04-30,-0.013861941,-0.014482167,-1.0,0.013861941,-0.013861941,1.1061891,1.0
2024-05-02,-0.0072883703,-0.011733852,-1.0,0.0072883703,-0.0072883703,1.1142514,1.0
2024-05-03,0.0018817538,-0.013054678,-1.0,-0.0018817538,0.0018817538,1.1121546,1.0
2024-05-06,-0.014044783,0.0029205612,1.0,-0.014044783,-0.014044783,1.0965346,1.0
2024-05-07,0.0008420929,0.0063840076,1.0,0.0008420929,0.0008420929,1.097458,1.0
2024-05-08,-0.011585026,0.005263281,1.0,-0.011585026,-0.011585026,1.084744,1.0
2024-05-09,0.0039807577,-0.0048056897,-1.0,-0.0039807577,0.0039807577,1.0804259,1.0
2024-05-10,0.010568073,-0.011859073,-1.0,-0.010568073,0.010568073,1.0690079,1.0
2024-05-13,-0.008115843,-0.024823507,-1.0,0.008115843,-0.008115843,1.0776838,1.0
2024-05-14,0.0046203355,-0.028486608,-1.0,-0.0046203355,0.0046203355,1.0727046,1.0
2024-05-15,0.009923626,-0.029993849,-1.0,-0.009923626,0.009923626,1.0620594,1.0
2024-05-16,0.0017975833,-0.019208126,-1.0,-0.0017975833,0.0017975833,1.0601503,1.0
2024-05-17,-0.0032469505,-0.010533088,-1.0,0.0032469505,-0.0032469505,1.0635924,1.0
2024-05-21,-0.010293163,-0.01008967,-1.0,0.010293163,-0.010293163,1.0745401,1.0
2024-05-22,0.03426409,-0.00436961,-1.0,-0.03426409,0.03426409,1.037722,1.0
2024-05-23,0.007481022,0.0036160105,1.0,0.007481022,0.007481022,1.0454851,1.0
2024-05-24,0.0110123865,0.0013073983,1.0,0.0110123865,0.0110123865,1.0569985,1.0
