date,actual,predicted,position,strategy_ret,buyhold_ret,strategy_equity,buyhold_equity
2024-04-01,-0.007503262,0.001154721,1.0,-0.007503262,-0.007503262,0.9924967,0.9924967
2024-04-02,0.014339036,0.001163543,1.0,0.014339036,0.014339036,1.0067282,0.9998924
2024-04-03,-0.015498502,0.001202555,1.0,-0.015498502,-0.015498502,0.9911254,1.0000017
2024-04-04,-0.013220311,0.0012400951,1.0,-0.013220311,-0.013220311,0.9780224,1.0
2024-04-05,0.0114372345,0.0024423292,1.0,0.0114372345,0.0114372345,0.9892082,1.0
2024-04-08,-0.00020757728,0.0043862076,1.0,-0.00020757728,-0.00020757728,0.9890029,1.0
2024-04-09,0.020503292,0.004776448,1.0,0.020503292,0.020503292,1.0092807,1.0
2024-04-10,-0.003136544,0.0046834205,1.0,-0.003136544,-0.003136544,1.0061151,1.0
2024-04-12,-0.000816227,0.0043350826,1.0,-0.000816227,-0.000816227,1.0052938,1.0
2024-04-15,-0.006636747,0.0041188467,1.0,-0.006636747,-0.006636747,0.998622,1.0
2024-04-16,0.03972812,0.00391321,1.0,0.03972812,0.03972812,1.0382954,1.0
2024-04-18,0.01820184,0.003919976,1.0,0.01820184,0.01820184,1.0571942,1.0
2024-04-19,0.006611202,0.0048042745,1.0,0.006611202,0.006611202,1.0641836,1.0
2024-04-22,0.0339439,0.003274138,1.0,0.0339439,0.0339439,1.1003062,1.0
2024-04-23,-0.0044423826,0.001365143,1.0,-0.0044423826,-0.0044423826,1.0954182,1.0
2024-04-24,0.0017195728,0.0006592594,1.0,0.0017195728,0.0017195728,1.0973018,1.0
2024-04-25,-0.009532024,0.00068906264,1.0,-0.009532024,-0.009532024,1.0868423,1.0
2024-04-26,0.004852341,0.0022763915,1.0,0.004852341,0.004852341,1.092116,1.0
2024-04-29,-0.007646588,0.0020855973,1.0,-0.007646588,-0.007646588,1.083765,1.0
2024-04-30,-0.013897807,0.0017570677,1.0,-0.013897807,-0.013897807,1.068703,1.0
2024-05-02,-0.020648047,0.0013917773,1.0,-0.020648047,-0.020648047,1.0466365,1.0
2024-05-03,0.0046859575,0.0010673925,1.0,0.0046859575,0.0046859575,1.051541,1.0
2024-05-06,0.002140426,0.0011092104,1.0,0.002140426,0.002140426,1.0537916,1.0
2024-05-07,0.0019031286,0.0011307168,1.0,0.0019031286,0.0019031286,1.0557972,1.0
2024-05-08,-0.0102572795,-0.0027074818,-1.0,0.0102572795,-0.0102572795,1.0666268,1.0
2024-05-09,0.019949408,-0.011359631,-1.0,-0.019949408,0.019949408,1.0453482,1.0
2024-05-10,-0.011750799,-0.01035434,-1.0,0.011750799,-0.011750799,1.0576319,1.0
2024-05-13,-0.001283847,0.0004227484,1.0,-0.001283847,-0.001283847,1.056274,1.0
2024-05-14,0.01973694,0.004696554,1.0,0.01973694,0.01973694,1.0771216,1.0
2024-05-15,0.026517525,0.011805756,1.0,0.026517525,0.026517525,1.1056842,1.0
2024-05-16,-0.00048343424,0.024355054,1.0,-0.00048343424,-0.00048343424,1.1051496,1.0
