date,actual,predicted,position,strategy_ret,buyhold_ret,strategy_equity,buyhold_equity
2024-04-01,0.006540975,0.00286638,1.0,0.006540975,0.006540975,1.006541,1.006541
2024-04-02,0.0014516856,0.0058693253,1.0,0.0014516856,0.0014516856,1.0080023,1.0000095
2024-04-03,0.030102877,0.013437444,1.0,0.030102877,0.030102877,1.038346,1.0000002
2024-04-04,0.01426665,0.020822939,1.0,0.01426665,0.01426665,1.0531597,1.0
2024-04-05,-0.0019055798,0.011717362,1.0,-0.0019055798,-0.0019055798,1.0511528,1.0
2024-04-08,0.0012600329,0.020620126,1.0,0.0012600329,0.0012600329,1.0524774,1.0
2024-04-09,-0.007909512,0.03169713,1.0,-0.007909512,-0.007909512,1.0441527,1.0
2024-04-10,-0.01139019,0.028458863,1.0,-0.01139019,-0.01139019,1.0322596,1.0
2024-04-12,-0.016093878,0.03062864,1.0,-0.016093878,-0.016093878,1.0156466,1.0
2024-04-15,0.009687409,0.022308014,1.0,0.009687409,0.009687409,1.0254856,1.0
2024-04-16,-0.009687409,0.024567652,1.0,-0.009687409,-0.009687409,1.0155513,1.0
2024-04-18,0.024191627,0.0061321575,1.0,0.024191627,0.024191627,1.0401192,1.0
2024-04-19,-0.01255161,0.002391005,1.0,-0.01255161,-0.01255161,1.027064,1.0
2024-04-22,-0.0030465655,-0.01806137,-1.0,0.0030465655,-0.0030465655,1.030193,1.0
2024-04-23,0.002715956,-0.014499538,-1.0,-0.002715956,0.002715956,1.027395,1.0
2024-04-24,-0.0006286362,-0.03677286,-1.0,0.0006286362,-0.0006286362,1.0280408,1.0
2024-04-25,-0.0006290317,-0.053010013,-1.0,0.0006290317,-0.0006290317,1.0286875,1.0
2024-04-26,0.01296376,-0.023139585,-1.0,-0.01296376,0.01296376,1.0153518,1.0
2024-04-29,-0.0061648674,0.032623507,1.0,-0.0061648674,-0.0061648674,1.0090923,1.0
2024-04-30,0.007961115,0.019157227,1.0,0.007961115,0.007961115,1.0171258,1.0
2024-05-02,-0.00829009,0.034516793,1.0,-0.00829009,-0.00829009,1.0086938,1.0
2024-05-03,0.0020051314,0.040940348,1.0,0.0020051314,0.0020051314,1.0107163,1.0
2024-05-06,-0.010895511,0.059748095,1.0,-0.010895511,-0.010895511,0.99970406,1.0
2024-05-07,-0.015725711,0.054010313,1.0,-0.015725711,-0.015725711,0.983983,1.0
2024-05-08,-0.023993108,0.068681255,1.0,-0.023993108,-0.023993108,0.9603741,1.0
2024-05-09,0.0069088307,0.06591533,1.0,0.0069088307,0.0069088307,0.9670091,1.0
2024-05-10,0.011993995,0.08727959,1.0,0.011993995,0.011993995,0.9786074,1.0
2024-05-13,0.0039091976,0.06633665,1.0,0.0039091976,0.0039091976,0.982433,1.0
2024-05-14,-0.015485895,0.046903268,1.0,-0.015485895,-0.015485895,0.9672192,1.0
2024-05-15,0.015006628,0.040231828,1.0,0.015006628,0.015006628,0.9817339,1.0
2024-05-16,0.0026331288,0.05161591,1.0,0.0026331288,0.0026331288,0.9843189,1.0
2024-05-17,-0.0036265776,0.03333226,1.0,-0.0036265776,-0.0036265776,0.9807492,1.0
2024-05-21,0.00027420395,0.030649032,1.0,0.00027420395,0.00027420395,0.98101807,1.0
2024-05-22,0.022631114,0.024738554,1.0,0.022631114,0.022631114,1.0032196,1.0
2024-05-23,0.016347013,0.019831512,1.0,0.016347013,0.016347013,1.0196193,1.0
2024-05-24,0.0068968893,0.011725039,1.0,0.0068968893,0.0068968893,1.0266515,1.0
2024-05-27,0.0018311049,0.013661483,1.0,0.0018311049,0.0018311049,1.0285313,1.0
