date,actual,predicted,position,strategy_ret,buyhold_ret,strategy_equity,buyhold_equity
2024-04-01,0.00034991035,-0.0033830055,-1.0,-0.00034991035,0.00034991035,0.99965006,1.0003499
2024-04-02,-0.009446761,-0.0019927337,-1.0,0.009446761,-0.009446761,1.0090935,0.9999967
2024-04-03,-0.00011032915,-0.0061929175,-1.0,0.00011032915,-0.00011032915,1.0092049,1.0
2024-04-04,0.00088263216,-0.0009384309,-1.0,-0.00088263216,0.00088263216,1.0083141,1.0
2024-04-05,0.0008817407,-0.00015066518,-1.0,-0.0008817407,0.0008817407,1.0074251,1.0
2024-04-08,-0.0021177572,-0.0003304924,-1.0,0.0021177572,-0.0021177572,1.0095586,1.0
2024-04-09,-0.001436236,-0.009387672,-1.0,0.001436236,-0.001436236,1.0110085,1.0
2024-04-10,-0.012730577,-0.0143514145,-1.0,0.012730577,-0.012730577,1.0238793,1.0
2024-04-12,-0.017283367,-0.008535985,-1.0,0.017283367,-0.017283367,1.0415753,1.0
2024-04-15,0.012118443,0.013084181,1.0,0.012118443,0.012118443,1.0541975,1.0
2024-04-16,-0.0027055012,0.02739023,1.0,-0.0027055012,-0.0027055012,1.0513453,1.0
2024-04-18,0.007556827,0.0009237939,1.0,0.007556827,0.007556827,1.0592902,1.0
2024-04-19,0.0044263247,-0.009948352,-1.0,-0.0044263247,0.0044263247,1.0546014,1.0
2024-04-22,0.009435618,-0.009191345,-1.0,-0.009435618,0.009435618,1.0446507,1.0
2024-04-23,-0.001105376,-0.00807301,-1.0,0.001105376,-0.001105376,1.0458055,1.0
2024-04-24,-0.013092691,-0.0015342091,-1.0,0.013092691,-0.013092691,1.0594978,1.0
2024-04-25,-0.0036826741,0.00463137,1.0,-0.0036826741,-0.0036826741,1.055596,1.0
2024-04-26,0.00155107,0.01559318,1.0,0.00155107,0.00155107,1.0572332,1.0
2024-04-29,0.0019521691,0.009576609,1.0,0.0019521691,0.0019521691,1.0592971,1.0
2024-04-30,-0.0018622724,-0.0060213,-1.0,0.0018622724,-0.0018622724,1.0612698,1.0
2024-05-02,-0.004163546,-0.003879134,-1.0,0.004163546,-0.004163546,1.0656884,1.0
2024-05-03,0.017504372,-0.0010652714,-1.0,-0.017504372,0.017504372,1.0470341,1.0
2024-05-06,0.053166382,0.005649991,1.0,0.053166382,0.053166382,1.1027012,1.0
2024-05-07,-0.016248798,0.0017155594,1.0,-0.016248798,-0.016248798,1.0847836,1.0
2024-05-08,-0.0065999227,0.005693814,1.0,-0.0065999227,-0.0065999227,1.0776241,1.0
2024-05-09,0.015742112,0.0025568013,1.0,0.015742112,0.015742112,1.0945882,1.0
2024-05-10,-0.0008047295,0.0025568013,1.0,-0.0008047295,-0.0008047295,1.0937073,1.0
2024-05-13,-0.004691864,0.0017598826,1.0,-0.004691864,-0.004691864,1.0885758,1.0
2024-05-14,-0.011256486,-9.316043e-05,-1.0,0.011256486,-0.011256486,1.1008294,1.0
