date,actual,predicted,rolling_vol,desired_pos,position,delta,cost,gross_ret,net_ret,capital,strategy_equity,buyhold_equity,buyhold_ret,n_trades
2024-05-03,0.006755253,0.0019975076,0.1730925608772471,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0067552,0.006755253,0
2024-05-06,0.01049927,0.0021445518,0.1745362022023606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0173254,0.01049927,0
2024-05-07,-0.009517915,0.0015022196,0.17948133940342068,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0076426,-0.009517915,0
2024-05-08,0.008545953,0.00055189524,0.1804804319865878,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.016254,0.008545953,0
2024-05-09,-0.010228932,0.00035687303,0.18347927687056806,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0058588,-0.010228932,0
2024-05-10,-0.0010180908,-1.0001124e-05,0.1859562511887841,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0048347,-0.0010180908,0
2024-05-13,0.0008777998,0.00016875996,0.17933568460260735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0057168,0.0008777998,0
2024-05-14,-0.0033396904,0.00024977152,0.1760248616830239,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.002358,-0.0033396904,0
2024-05-15,0.023249669,0.00031196408,0.17078214634242153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0256624,0.023249669,0
2024-05-16,-0.006246553,0.00036979327,0.18765774527282827,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0192555,-0.006246553,0
2024-05-17,-0.0070523247,2.5488785e-05,0.13722709162435978,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0120674,-0.0070523247,0
2024-05-21,0.014296215,0.00016707391,0.1395609836077939,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0265361,0.014296215,0
2024-05-22,0.012025254,-0.00017202972,0.1451925848477663,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0388805,0.012025254,0
2024-05-23,-0.004970335,-0.0005975524,0.14203820925889807,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0337169,-0.004970335,0
2024-05-24,0.0042569363,-0.0007573669,0.142186717427206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0381174,0.0042569363,0
2024-05-27,-0.0029268628,-0.00045496516,0.13905837696869022,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.035079,-0.0029268628,0
2024-05-28,-0.011035027,-0.0003755344,0.138997347429738,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0236568,-0.011035027,0
2024-05-29,-0.016328959,-0.00037573185,0.1431531663034917,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0069417,-0.016328959,0
2024-05-30,0.005309545,-7.794704e-05,0.15387377064654553,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0122881,0.005309545,0
2024-05-31,-0.0007110974,0.00077709183,0.15094429363968828,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0115683,-0.0007110974,0
2024-06-03,-0.008751554,0.0007328609,0.15006315010249036,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0027155,-0.008751554,0
2024-06-04,0.025818268,0.0007683344,0.1533549604283014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0286038,0.025818268,0
2024-06-05,0.02904749,0.000976542,0.17516026176357974,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0584822,0.02904749,0
2024-06-06,0.040826064,0.0007524374,0.19698858223455298,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.1016959,0.040826064,0
2024-06-07,-0.022319565,-1.3335142e-05,0.23215104383077423,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0771065,-0.022319565,0
2024-06-10,-0.0026706476,-0.00040036358,0.2483626064864621,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.07423,-0.0026706476,0
2024-06-11,-0.007078358,1.3098121e-05,0.2448598982989375,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0666262,-0.007078358,0
2024-06-12,0.005874188,-0.0012734893,0.2469766830198926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0728917,0.005874188,0
2024-06-13,-0.00338597,-0.002826983,0.24704742583575656,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0692589,-0.00338597,0
2024-06-14,0.006226705,-0.003917932,0.24706218055471835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0759169,0.006226705,0
2024-06-18,0.008738965,-0.002892916,0.23698248986067572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0853193,0.008738965,0
2024-06-19,0.0026761116,-0.0030035041,0.23584061062847744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0882237,0.0026761116,0
2024-06-20,0.011351485,-0.0036990508,0.2330901861279793,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.1005766,0.011351485,0
2024-06-21,-0.0036275636,-0.0030030212,0.23167197377742924,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0965842,-0.0036275636,0
2024-06-24,0.009644525,-0.0018313536,0.23074236734568546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.1071602,0.009644525,0
2024-06-25,-0.0008109562,-0.0021733292,0.230215204004983,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.1062623,-0.0008109562,0
2024-06-26,0.020970272,-0.0031735594,0.23062013085633054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.1294609,0.020970272,0
2024-06-27,-0.004203681,-0.0032215412,0.2371384788784773,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.1247131,-0.004203681,0
2024-06-28,0.015233634,-0.003023922,0.2329333987586507,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.1418465,0.015233634,0
2024-07-01,0.01883714,-0.0031086383,0.22313564442793635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.1633556,0.01883714,0
2024-07-02,0.0039093955,-0.0034919851,0.22720779901851887,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.1679035,0.0039093955,0
2024-07-03,0.014185532,-0.0041389647,0.22592109290560933,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.1844709,0.014185532,0
2024-07-04,-0.0019405081,-0.004838484,0.22000029621712808,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.1821724,-0.0019405081,0
2024-07-05,0.008582396,-0.0050038216,0.21301438031734002,-0.055138376320397996,-0.055138376320397996,-0.055138376320397996,0.00012563820128723294,0.0,-0.00012563820128723294,0.9998743617987128,0.9998743617987128,1.1923182,0.008582396,1
2024-07-08,-0.0027117883,-0.004682277,0.19799935440487423,-0.059717215050048844,-0.059717215050048844,-0.004578838729650848,2.488355268292041e-05,0.0001495236,0.000124640053840951,0.9999989861930016,0.9999989861930016,1.1890849,-0.0027117883,1
2024-07-09,-0.005385226,-0.005012833,0.15565742101643212,-0.10344597177524995,-0.10344597177524995,-0.0437287567252011,0.00010650675128035658,0.00032159072,0.00021508396869703716,1.000214069943645,1.000214069943645,1.1826814,-0.005385226,2
2024-07-10,0.0026963167,-0.0038597775,0.13013790747612664,-0.11395270329368896,-0.11395270329368896,-0.01050673151843902,4.126794290301397e-05,-0.0002789231,-0.0003201910504469742,0.9998938103499179,0.9998938103499179,1.1858703,0.0026963167,3
2024-07-11,0.0351059,-0.0031114412,0.12783565386802143,-0.09519795117219054,-0.09519795117219054,0.018754752121498422,5.5169216014615104e-05,-0.0040004123,-0.0040555815162436875,0.9958386594944563,0.9958386594944563,1.2275014,0.0351059,4
2024-07-12,-0.0027494635,-0.0034830924,0.15716986841574226,-0.0705011859089945,-0.0705011859089945,0.024696765263196044,6.569288422746819e-05,0.0002617433,0.00019605040682086486,0.9960338940687781,0.9960338940687781,1.2241265,-0.0027494635,5
2024-07-15,0.01106881,-0.0027655284,0.1604234317896954,-0.05372946555561174,-0.05372946555561174,0.016771720353382757,5.144726506008781e-05,-0.0007803642,-0.0008318114725178389,0.995205381648675,0.995205381648675,1.2376761,0.01106881,6
2024-07-16,0.018369718,-0.0033105798,0.15730903291432688,-0.06689085446661867,-0.06689085446661867,-0.013161388911006933,4.7591479302817425e-05,-0.0009869952,-0.0010345866547836601,0.9941757554420524,0.9941757554420524,1.2604119,0.018369718,7
2024-07-18,0.019656964,-0.0035992456,0.16184829706963708,-0.068701341009725,-0.068701341009725,-0.0018104865431063238,1.4577240777256354e-05,-0.0013148711,-0.0013294483703570985,0.9928540501041314,0.9928540501041314,1.2851878,0.019656964,7
2024-07-19,0.009934051,-0.003294475,0.16688732928084385,-0.059143834724895476,-0.059143834724895476,0.009557506284829521,3.650643703360781e-05,-0.0006824826,-0.0007189890493528985,0.9921401989145009,0.9921401989145009,1.297955,0.009934051,7
2024-07-22,0.0142830545,-0.0033616698,0.16583825102151456,-0.061116101517925035,-0.061116101517925035,-0.001972266793029559,1.5297302197579622e-05,-0.0008447546,-0.0008600519301033657,0.9912869068214913,0.9912869068214913,1.3164937,0.0142830545,7
2024-07-23,-0.0016073307,-0.0047109807,0.16674066914847802,-0.0847223997211951,-0.0847223997211951,-0.02360629820327006,6.972292825013083e-05,9.8233795e-05,2.8510866892601726e-05,0.9913151692705442,0.9913151692705442,1.3143777,-0.0016073307,8
2024-07-24,-0.0049742498,-0.005999141,0.16509146708945177,-0.11005500889076257,-0.11005500889076257,-0.025332609169567477,7.310660485176007e-05,0.00042143036,0.0003483237577695622,0.9916604678954384,0.9916604678954384,1.3078396,-0.0049742498,9
2024-07-25,0.02918873,-0.005453718,0.1713836450808594,-0.09283760388704332,-0.09283760388704332,0.017217405003719252,5.229480405651727e-05,-0.0032123658,-0.0032646605915328183,0.9884230330457191,0.9884230330457191,1.3460138,0.02918873,10
2024-07-26,-0.004160037,-0.0041401605,0.18247903111297306,-0.06216719187226011,-0.06216719187226011,0.03067041201478321,7.557238958814548e-05,0.00038620783,0.00031063544057271077,0.9887300722700614,0.9887300722700614,1.3404143,-0.004160037,11
2024-07-29,0.0032282467,-0.0039100293,0.1832154956123351,-0.05824056955992113,-0.05824056955992113,0.003926622312338979,2.1747723323096616e-05,-0.00020069102,-0.0002224387450691211,0.9885101403935735,0.9885101403935735,1.3447413,0.0032282467,11
2024-07-30,-0.0047525805,-0.0039371974,0.1788218271206881,-0.061562484170357236,-0.061562484170357236,-0.0033219146104361066,2.0616052438104247e-05,0.000276793,0.0002561769457547276,0.9887633739021872,0.9887633739021872,1.3383504,-0.0047525805,11
2024-07-31,-0.008412098,-0.0046960195,0.18265783228644408,-0.07037579171482286,-0.07037579171482286,-0.008813307544465625,3.698588620754993e-05,0.00051786966,0.00048088377302628836,0.9892388541640595,0.9892388541640595,1.327092,-0.008412098,11
2024-08-01,-0.017094485,-0.004945778,0.18584196864612404,-0.0716006578328089,-0.0716006578328089,-0.0012248661179860426,1.1725517188366041e-05,0.0012030379,0.0011913123976316493,0.9904173466752442,0.9904173466752442,1.304406,-0.017094485,11
2024-08-02,-0.03879459,-0.005483867,0.20202319394378626,-0.06718223728090501,-0.06718223728090501,0.00441842055190389,2.325959411083384e-05,0.0027777182,0.0027544586462843546,0.9931454102992239,0.9931454102992239,1.2538022,-0.03879459,11
2024-08-05,-0.0004568061,-0.0059604403,0.2483291644280537,0.0,0.0,0.06718223728090501,0.00012821246972308847,3.0689254e-05,-9.752321537818181e-05,0.9930485555654734,0.9930485555654734,1.2532294,-0.0004568061,12
2024-08-06,0.022892801,-0.0043167784,0.24803727823921312,0.0,0.0,0.0,0.0,0.0,0.0,0.9930485555654734,0.9930485555654734,1.2819194,0.022892801,12
2024-08-07,-0.027443172,-0.0016131939,0.2565397663545341,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9930485555654734,0.9930485555654734,1.2467394,-0.027443172,12
2024-08-08,0.015709363,-0.0030507077,0.276661299966525,0.0,0.0,0.0,0.0,0.0,0.0,0.9930485555654734,0.9930485555654734,1.2663249,0.015709363,12
2024-08-09,0.014938011,-0.0025055124,0.27871285641086735,0.0,0.0,0.0,0.0,0.0,0.0,0.9930485555654734,0.9930485555654734,1.2852412,0.014938011,12
