date,actual,predicted,position,strategy_ret,buyhold_ret,strategy_equity,buyhold_equity
2024-04-01,-0.0019939023,-0.0045220447,-1.0,0.0019939023,-0.0019939023,1.0019939,0.9980061
2024-04-02,-0.001527586,-0.00504465,-1.0,0.001527586,-0.001527586,1.0035245,1.0000031
2024-04-03,-0.0057785204,-0.0045567383,-1.0,0.0057785204,-0.0057785204,1.0093235,1.0
2024-04-04,0.011290189,-0.0041509317,-1.0,-0.011290189,0.011290189,0.997928,1.0
2024-04-05,0.0036186317,-0.0030601397,-1.0,-0.0036186317,0.0036186317,0.9943169,1.0
2024-04-08,-0.0064293537,-0.0029651076,-1.0,0.0064293537,-0.0064293537,1.0007097,1.0
2024-04-09,0.024558224,-0.0023603677,-1.0,-0.024558224,0.024558224,0.976134,1.0
2024-04-10,-0.015800942,-0.003924508,-1.0,0.015800942,-0.015800942,0.99155784,1.0
2024-04-12,-0.00981322,-0.004083767,-1.0,0.00981322,-0.00981322,1.0012882,1.0
2024-04-15,0.0,-0.009087061,-1.0,-0.0,0.0,1.0012882,1.0
2024-04-16,-0.016691692,-0.0113504585,-1.0,0.016691692,-0.016691692,1.0180013,1.0
2024-04-18,0.013987889,-0.01096361,-1.0,-0.013987889,0.013987889,1.0037616,1.0
2024-04-19,0.0012940678,-0.0054086116,-1.0,-0.0012940678,0.0012940678,1.0024627,1.0
2024-04-22,0.009128081,0.00026393327,1.0,0.009128081,0.009128081,1.0116134,1.0
2024-04-23,-0.00069907756,0.0013697916,1.0,-0.00069907756,-0.00069907756,1.0109061,1.0
2024-04-24,0.019967148,0.0020548718,1.0,0.019967148,0.019967148,1.0310911,1.0
2024-04-25,0.0055836085,0.0025521968,1.0,0.0055836085,0.0055836085,1.0368483,1.0
2024-04-26,-0.0040991073,0.0023203162,1.0,-0.0040991073,-0.0040991073,1.0325981,1.0
2024-04-29,-0.0058363983,0.0010263554,1.0,-0.0058363983,-0.0058363983,1.0265715,1.0
2024-04-30,0.007660334,-0.00045220205,-1.0,-0.007660334,0.007660334,1.0187076,1.0
2024-05-02,-0.005825652,-0.0009805709,-1.0,0.005825652,-0.005825652,1.0246422,1.0
2024-05-03,-0.0039026008,-0.001877084,-1.0,0.0039026008,-0.0039026008,1.028641,1.0
2024-05-06,0.012798601,-0.0024612057,-1.0,-0.012798601,0.012798601,1.0154759,1.0
2024-05-07,0.0014750691,-0.0020642364,-1.0,-0.0014750691,0.0014750691,1.013978,1.0
2024-05-08,-0.036720444,-0.00264799,-1.0,0.036720444,-0.036720444,1.0512117,1.0
2024-05-09,0.019221263,-0.002678189,-1.0,-0.019221263,0.019221263,1.0310061,1.0
2024-05-10,-0.003467274,-0.0024778894,-1.0,0.003467274,-0.003467274,1.034581,1.0
2024-05-13,-0.0049911826,-0.00083111867,-1.0,0.0049911826,-0.0049911826,1.0397447,1.0
2024-05-14,-0.004431495,-0.0006652224,-1.0,0.004431495,-0.004431495,1.0443523,1.0
2024-05-15,0.008495864,0.0020905281,1.0,0.008495864,0.008495864,1.0532249,1.0
2024-05-16,0.011178487,0.0031988798,1.0,0.011178487,0.011178487,1.0649984,1.0
2024-05-17,-0.0034439508,0.002855572,1.0,-0.0034439508,-0.0034439508,1.0613306,1.0
2024-05-21,0.011661153,0.002880414,1.0,0.011661153,0.011661153,1.0737069,1.0
2024-05-22,0.0032908719,0.0033843354,1.0,0.0032908719,0.0032908719,1.0772403,1.0
2024-05-23,-0.011737416,0.0032901308,1.0,-0.011737416,-0.011737416,1.0645963,1.0
2024-05-24,-0.010833248,0.0015522768,1.0,-0.010833248,-0.010833248,1.0530633,1.0
2024-05-27,-0.0058106356,0.001826421,1.0,-0.0058106356,-0.0058106356,1.0469444,1.0
2024-05-28,0.0045352546,0.0050557293,1.0,0.0045352546,0.0045352546,1.0516925,1.0
2024-05-29,-0.016612532,0.007843819,1.0,-0.016612532,-0.016612532,1.0342212,1.0
2024-05-30,0.0061154226,0.0079578925,1.0,0.0061154226,0.0061154226,1.040546,1.0
2024-05-31,0.0091037415,0.008360528,1.0,0.0091037415,0.0091037415,1.0500188,1.0
2024-06-03,-0.01757384,0.0070632016,1.0,-0.01757384,-0.01757384,1.0315659,1.0
2024-06-04,0.035722446,0.0064709303,1.0,0.035722446,0.035722446,1.068416,1.0
2024-06-05,0.0117823575,0.0066115092,1.0,0.0117823575,0.0117823575,1.0810045,1.0
2024-06-06,0.008575891,0.004501825,1.0,0.008575891,0.008575891,1.090275,1.0
2024-06-07,-0.005136641,0.0012241834,1.0,-0.005136641,-0.005136641,1.0846747,1.0
2024-06-10,-0.008966581,-0.009533175,-1.0,0.008966581,-0.008966581,1.0944005,1.0
2024-06-11,-0.0016179763,-0.013078291,-1.0,0.0016179763,-0.0016179763,1.0961713,1.0
2024-06-12,-0.00463705,-0.012056452,-1.0,0.00463705,-0.00463705,1.1012542,1.0
2024-06-13,0.0019733522,-0.010510868,-1.0,-0.0019733522,0.0019733522,1.099081,1.0
2024-06-14,-0.005582048,-0.008154251,-1.0,0.005582048,-0.005582048,1.1052163,1.0
2024-06-18,-0.0119663635,-0.0021273992,-1.0,0.0119663635,-0.0119663635,1.1184417,1.0
2024-06-19,-0.00082651555,-0.0012259645,-1.0,0.00082651555,-0.00082651555,1.119366,1.0
2024-06-20,-0.008779278,-9.21617e-05,-1.0,0.008779278,-0.008779278,1.1291933,1.0
2024-06-21,0.008779278,0.0012227066,1.0,0.008779278,0.008779278,1.1391069,1.0
2024-06-24,0.0,0.0031370986,1.0,0.0,0.0,1.1391069,1.0
2024-06-25,0.0015342635,0.0045869867,1.0,0.0015342635,0.0015342635,1.1408545,1.0
2024-06-26,0.0038845337,0.004774043,1.0,0.0038845337,0.0038845337,1.1452862,1.0
2024-06-27,-0.0016460507,0.004598836,1.0,-0.0016460507,-0.0016460507,1.143401,1.0
2024-06-28,0.009719625,0.004008275,1.0,0.009719625,0.009719625,1.1545144,1.0
2024-07-01,-0.008308547,0.004026317,1.0,-0.008308547,-0.008308547,1.1449221,1.0
2024-07-02,0.0065589375,0.0032750592,1.0,0.0065589375,0.0065589375,1.1524316,1.0
2024-07-03,0.0017496094,0.0036170078,1.0,0.0017496094,0.0017496094,1.1544479,1.0
2024-07-04,0.0106643075,0.0033305702,1.0,0.0106643075,0.0106643075,1.1667594,1.0
2024-07-05,0.022685397,0.0029282006,1.0,0.022685397,0.022685397,1.1932278,1.0
2024-07-08,0.020085612,0.0021703807,1.0,0.020085612,0.020085612,1.2171944,1.0
2024-07-09,-0.0025441495,0.00084388093,1.0,-0.0025441495,-0.0025441495,1.2140977,1.0
2024-07-10,0.015822811,-0.0016101097,-1.0,-0.015822811,0.015822811,1.1948873,1.0
2024-07-11,0.0008716805,-0.002428053,-1.0,-0.0008716805,0.0008716805,1.1938457,1.0
2024-07-12,0.0094314525,-0.0030252882,-1.0,-0.0094314525,0.0094314525,1.1825861,1.0
2024-07-15,0.00462892,-0.006581468,-1.0,-0.00462892,0.00462892,1.177112,1.0
2024-07-16,0.010044962,-0.005158451,-1.0,-0.010044962,0.010044962,1.165288,1.0
2024-07-18,0.009102431,-0.002297135,-1.0,-0.009102431,0.009102431,1.1546811,1.0
2024-07-19,-0.01700171,-0.0015518038,-1.0,0.01700171,-0.01700171,1.1743127,1.0
2024-07-22,0.053519953,-0.001770299,-1.0,-0.053519953,0.053519953,1.1114635,1.0
2024-07-23,0.003751522,-0.001638739,-1.0,-0.003751522,0.003751522,1.1072938,1.0
2024-07-24,-0.008333257,-0.0028061252,-1.0,0.008333257,-0.008333257,1.1165211,1.0
2024-07-25,0.024695085,-0.0030530975,-1.0,-0.024695085,0.024695085,1.0889485,1.0
2024-07-26,-0.012321846,-0.0030220859,-1.0,0.012321846,-0.012321846,1.1023663,1.0
2024-07-29,-0.012475359,-0.003242562,-1.0,0.012475359,-0.012475359,1.1161188,1.0
2024-07-30,0.011063319,-0.0033282335,-1.0,-0.011063319,0.011063319,1.1037707,1.0
2024-07-31,-0.003336501,-0.0026604845,-1.0,0.003336501,-0.003336501,1.1074535,1.0
2024-08-01,-0.009361088,-0.0030123768,-1.0,0.009361088,-0.009361088,1.1178204,1.0
2024-08-02,-0.0063583693,-0.002972214,-1.0,0.0063583693,-0.0063583693,1.1249279,1.0
2024-08-05,0.0006170481,-0.0034205774,-1.0,-0.0006170481,0.0006170481,1.1242337,1.0
2024-08-06,0.012973295,-0.0034905523,-1.0,-0.012973295,0.012973295,1.1096487,1.0
2024-08-07,0.0042535677,-0.0032040034,-1.0,-0.0042535677,0.0042535677,1.1049287,1.0
2024-08-08,0.0023217464,-0.002909375,-1.0,-0.0023217464,0.0023217464,1.1023633,1.0
2024-08-09,-0.002625023,-0.0029857839,-1.0,0.002625023,-0.002625023,1.105257,1.0
2024-08-12,-0.009343905,-0.002106105,-1.0,0.009343905,-0.009343905,1.1155844,1.0
2024-08-13,0.0044797673,-0.0015769728,-1.0,-0.0044797673,0.0044797673,1.1105868,1.0
2024-08-14,0.02100901,-0.00075268233,-1.0,-0.02100901,0.02100901,1.0872544,1.0
2024-08-16,-0.0023902308,-0.00063313055,-1.0,0.0023902308,-0.0023902308,1.0898533,1.0
2024-08-19,-0.0052987793,-0.0021156105,-1.0,0.0052987793,-0.0052987793,1.0956281,1.0
2024-08-20,0.013145042,-0.002593372,-1.0,-0.013145042,0.013145042,1.0812261,1.0
2024-08-21,-0.0016832644,-0.0027241986,-1.0,0.0016832644,-0.0016832644,1.0830461,1.0
2024-08-22,0.0024744135,-0.0034782751,-1.0,-0.0024744135,0.0024744135,1.0803661,1.0
2024-08-23,-0.0001977116,-0.0033928035,-1.0,0.0001977116,-0.0001977116,1.0805798,1.0
2024-08-26,-0.0101362355,-0.002879777,-1.0,0.0101362355,-0.0101362355,1.0915328,1.0
2024-08-27,-0.0066139093,-0.0026049376,-1.0,0.0066139093,-0.0066139093,1.098752,1.0
2024-08-28,0.015562985,-0.005083507,-1.0,-0.015562985,0.015562985,1.0816522,1.0
2024-08-29,-0.006355543,-0.0012477675,-1.0,0.006355543,-0.006355543,1.0885266,1.0
2024-08-30,0.016107833,-0.00039247307,-1.0,-0.016107833,0.016107833,1.0709928,1.0
2024-09-02,-0.0012752387,0.0011339077,1.0,-0.0012752387,-0.0012752387,1.069627,1.0
2024-09-03,-0.0060053295,0.0017741985,1.0,-0.0060053295,-0.0060053295,1.0632036,1.0
2024-09-04,0.009532748,0.0024286862,1.0,0.009532748,0.009532748,1.0733387,1.0
2024-09-05,-0.018758617,0.0031868797,1.0,-0.018758617,-0.018758617,1.0532044,1.0
2024-09-06,0.019833859,0.0036864448,1.0,0.019833859,0.019833859,1.0740935,1.0
2024-09-09,0.003608598,0.004556481,1.0,0.003608598,0.003608598,1.0779694,1.0
2024-09-10,0.0014591748,0.0050046435,1.0,0.0014591748,0.0014591748,1.0795423,1.0
2024-09-11,0.009962842,0.004617594,1.0,0.009962842,0.009962842,1.0902976,1.0
2024-09-12,-0.010935411,0.0029461589,1.0,-0.010935411,-0.010935411,1.0783747,1.0
2024-09-13,-0.005366069,0.0026776996,1.0,-0.005366069,-0.005366069,1.0725881,1.0
2024-09-16,-0.0065761213,0.00065927656,1.0,-0.0065761213,-0.0065761213,1.0655346,1.0
2024-09-17,-0.00078810955,0.0014782569,1.0,-0.00078810955,-0.00078810955,1.0646949,1.0
2024-09-18,0.0017723569,0.0028359499,1.0,0.0017723569,0.0017723569,1.066582,1.0
2024-09-19,0.01202771,0.003488041,1.0,0.01202771,0.01202771,1.0794106,1.0
2024-09-20,0.004944955,0.003513949,1.0,0.004944955,0.004944955,1.0847481,1.0
2024-09-23,-0.0032938959,0.0030282056,1.0,-0.0032938959,-0.0032938959,1.0811751,1.0
2024-09-24,0.0044539245,0.0028811228,1.0,0.0044539245,0.0044539245,1.0859905,1.0
2024-09-25,0.009997257,0.003051178,1.0,0.009997257,0.009997257,1.0968474,1.0
2024-09-26,-9.577712e-05,0.0031003612,1.0,-9.577712e-05,-9.577712e-05,1.0967424,1.0
2024-09-27,-0.008742795,0.0021381518,1.0,-0.008742795,-0.008742795,1.0871538,1.0
2024-09-30,-0.0037704767,0.0012817107,1.0,-0.0037704767,-0.0037704767,1.0830547,1.0
2024-10-01,-0.0067059984,0.0023566186,1.0,-0.0067059984,-0.0067059984,1.0757917,1.0
2024-10-03,-0.01810534,0.0028814515,1.0,-0.01810534,-0.01810534,1.0563141,1.0
2024-10-04,0.013119779,0.0031014327,1.0,0.013119779,0.013119779,1.0701728,1.0
2024-10-07,-0.004419801,0.0040494367,1.0,-0.004419801,-0.004419801,1.0654428,1.0
2024-10-08,-0.032514263,0.0040803985,1.0,-0.032514263,-0.032514263,1.0308007,1.0
2024-10-09,0.0007116504,0.0047524585,1.0,0.0007116504,0.0007116504,1.0315343,1.0
2024-10-10,-0.007855233,0.0055259503,1.0,-0.007855233,-0.007855233,1.0234314,1.0
2024-10-11,0.01776428,0.004635758,1.0,0.01776428,0.01776428,1.041612,1.0
2024-10-14,0.0032144387,0.004620908,1.0,0.0032144387,0.0032144387,1.0449603,1.0
2024-10-15,-0.010789083,0.0037104934,1.0,-0.010789083,-0.010789083,1.033686,1.0
2024-10-16,-0.0087567875,0.0032495046,1.0,-0.0087567875,-0.0087567875,1.0246342,1.0
2024-10-17,-0.0045100735,0.0036311024,1.0,-0.0045100735,-0.0045100735,1.0200131,1.0
2024-10-18,-0.0062863748,0.0034961095,1.0,-0.0062863748,-0.0062863748,1.013601,1.0
2024-10-21,-0.0038324173,0.004090427,1.0,-0.0038324173,-0.0038324173,1.0097164,1.0
2024-10-22,-0.003014078,0.0035416898,1.0,-0.003014078,-0.003014078,1.006673,1.0
2024-10-23,-0.018171923,0.0034507,1.0,-0.018171923,-0.018171923,0.98837984,1.0
2024-10-24,0.022223162,0.003709869,1.0,0.022223162,0.022223162,1.0103447,1.0
2024-10-25,0.0038283812,0.004014959,1.0,0.0038283812,0.0038283812,1.0142127,1.0
2024-10-28,0.007818298,0.0033819713,1.0,0.007818298,0.007818298,1.0221422,1.0
2024-10-29,0.007350673,0.00345938,1.0,0.007350673,0.007350673,1.0296556,1.0
2024-10-30,-0.0056102644,0.0032953047,1.0,-0.0056102644,-0.0056102644,1.0238789,1.0
2024-10-31,0.0030640964,0.002513019,1.0,0.0030640964,0.0030640964,1.0270163,1.0
2024-11-01,-0.011693768,0.0023900988,1.0,-0.011693768,-0.011693768,1.0150065,1.0
2024-11-04,-0.009121096,0.0023178789,1.0,-0.009121096,-0.009121096,1.0057485,1.0
2024-11-05,0.0018724704,0.0022182479,1.0,0.0018724704,0.0018724704,1.0076317,1.0
2024-11-06,-0.006673655,0.0030681803,1.0,-0.006673655,-0.006673655,1.0009071,1.0
2024-11-07,0.00031387282,0.0037089484,1.0,0.00031387282,0.00031387282,1.0012212,1.0
2024-11-08,-0.0023037128,0.0045023244,1.0,-0.0023037128,-0.0023037128,0.99891466,1.0
2024-11-11,-0.008633322,0.005122636,1.0,-0.008633322,-0.008633322,0.9902907,1.0
2024-11-12,-0.0013756332,0.0058233757,1.0,-0.0013756332,-0.0013756332,0.98892844,1.0
2024-11-13,-0.013324265,0.005893003,1.0,-0.013324265,-0.013324265,0.9757517,1.0
2024-11-14,0.0012868425,0.006054922,1.0,0.0012868425,0.0012868425,0.9770073,1.0
2024-11-18,0.0017132672,0.006355379,1.0,0.0017132672,0.0017132672,0.9786812,1.0
2024-11-19,-0.02206689,0.005790983,1.0,-0.02206689,-0.02206689,0.9570848,1.0
2024-11-21,0.037566096,0.0056562982,1.0,0.037566096,0.037566096,0.9930387,1.0
2024-11-22,0.0045194547,0.005832337,1.0,0.0045194547,0.0045194547,0.9975267,1.0
2024-11-25,0.00041941638,0.004739855,1.0,0.00041941638,0.00041941638,0.9979451,1.0
2024-11-26,-0.00010496377,0.0038964003,1.0,-0.00010496377,-0.00010496377,0.99784034,1.0
2024-11-27,-0.0043073082,0.0023427894,1.0,-0.0043073082,-0.0043073082,0.9935423,1.0
2024-11-28,0.003888064,0.0017013032,1.0,0.003888064,0.003888064,0.99740523,1.0
2024-11-29,0.0009433043,0.0015056655,1.0,0.0009433043,0.0009433043,0.9983461,1.0
2024-12-02,-0.009792061,0.000844146,1.0,-0.009792061,-0.009792061,0.9885702,1.0
2024-12-03,-0.011600219,0.00036184106,1.0,-0.011600219,-0.011600219,0.9771026,1.0
2024-12-04,0.0008559183,0.0013880071,1.0,0.0008559183,0.0008559183,0.9779389,1.0
2024-12-05,0.0077772536,0.0028561438,1.0,0.0077772536,0.0077772536,0.9855445,1.0
2024-12-06,-0.013246622,0.0037339386,1.0,-0.013246622,-0.013246622,0.9724894,1.0
2024-12-09,0.0010747276,0.0034896098,1.0,0.0010747276,0.0010747276,0.9735345,1.0
2024-12-10,-0.00042982635,0.0044094524,1.0,-0.00042982635,-0.00042982635,0.9731161,1.0
2024-12-11,-0.010044838,0.0046802387,1.0,-0.010044838,-0.010044838,0.96334136,1.0
2024-12-12,0.020202627,0.0051118196,1.0,0.020202627,0.020202627,0.9828034,1.0
2024-12-13,0.00021287399,0.0053181015,1.0,0.00021287399,0.00021287399,0.9830127,1.0
2024-12-16,-0.001170709,0.003943591,1.0,-0.001170709,-0.001170709,0.9818619,1.0
2024-12-17,0.0020211674,0.003195318,1.0,0.0020211674,0.0020211674,0.9838464,1.0
2024-12-18,-0.008430731,0.0028860238,1.0,-0.008430731,-0.008430731,0.9755519,1.0
2024-12-19,-0.004080757,0.0024720617,1.0,-0.004080757,-0.004080757,0.9715709,1.0
2024-12-20,0.020450281,0.0032924633,1.0,0.020450281,0.020450281,0.99143976,1.0
2024-12-23,0.00881696,0.0051715476,1.0,0.00881696,0.00881696,1.0001812,1.0
2024-12-24,-0.0031401059,0.003078241,1.0,-0.0031401059,-0.0031401059,0.9970405,1.0
2024-12-26,0.003453618,0.0014886995,1.0,0.003453618,0.003453618,1.0004839,1.0
2024-12-27,-0.0033486541,0.0009769548,1.0,-0.0033486541,-0.0033486541,0.9971336,1.0
2024-12-30,0.013844997,0.0004481945,1.0,0.013844997,0.013844997,1.0109389,1.0
2024-12-31,0.0006201164,-0.0002249612,-1.0,-0.0006201164,0.0006201164,1.010312,1.0
2025-01-01,0.010483074,-0.0012432929,-1.0,-0.010483074,0.010483074,0.99972075,1.0
2025-01-02,-0.015350773,-0.0019230371,-1.0,0.015350773,-0.015350773,1.0150673,1.0
2025-01-03,-0.046544664,-0.0021469118,-1.0,0.046544664,-0.046544664,1.0623133,1.0
2025-01-06,-0.0035077545,-0.0019758008,-1.0,0.0035077545,-0.0035077545,1.0660397,1.0
2025-01-07,0.01897537,-0.0012272104,-1.0,-0.01897537,0.01897537,1.0458112,1.0
2025-01-08,0.0012227569,-0.0004327075,-1.0,-0.0012227569,0.0012227569,1.0445324,1.0
2025-01-09,-0.011620292,-0.00036860083,-1.0,0.011620292,-0.011620292,1.0566702,1.0
2025-01-10,-0.013236255,-0.0005086465,-1.0,0.013236255,-0.013236255,1.0706565,1.0
2025-01-13,-0.005595832,-0.00018698222,-1.0,0.005595832,-0.005595832,1.0766478,1.0
2025-01-14,0.0017163735,0.0006461285,1.0,0.0017163735,0.0017163735,1.0784957,1.0
2025-01-15,-0.010342557,0.0015789662,1.0,-0.010342557,-0.010342557,1.0673413,1.0
2025-01-16,0.016837995,0.0015440894,1.0,0.016837995,0.016837995,1.0853132,1.0
2025-01-17,-0.0056954664,0.002289644,1.0,-0.0056954664,-0.0056954664,1.0791318,1.0
2025-01-20,-0.00034281015,0.0013495507,1.0,-0.00034281015,-0.00034281015,1.0787619,1.0
2025-01-21,-0.0012577749,0.0016964271,1.0,-0.0012577749,-0.0012577749,1.0774051,1.0
2025-01-22,0.0072960514,0.0015511923,1.0,0.0072960514,0.0072960514,1.085266,1.0
2025-01-23,0.003175247,0.0012997716,1.0,0.003175247,0.003175247,1.088712,1.0
2025-01-24,-0.003402501,0.0010247072,1.0,-0.003402501,-0.003402501,1.0850077,1.0
2025-01-27,-0.0106219845,0.00084931817,1.0,-0.0106219845,-0.0106219845,1.0734828,1.0
2025-01-28,-0.0048342957,0.00065853866,1.0,-0.0048342957,-0.0048342957,1.0682932,1.0
2025-01-29,0.006555198,0.0012374506,1.0,0.006555198,0.006555198,1.075296,1.0
2025-01-30,0.02557571,0.0017999379,1.0,0.02557571,0.02557571,1.1027975,1.0
2025-01-31,0.033077992,0.0024474037,1.0,0.033077992,0.033077992,1.1392758,1.0
2025-02-01,-0.017886698,0.0025847242,1.0,-0.017886698,-0.017886698,1.1188979,1.0
2025-02-03,0.0017591546,0.0025943713,1.0,0.0017591546,0.0017591546,1.1208663,1.0
2025-02-04,-0.015499018,-0.0005629972,-1.0,0.015499018,-0.015499018,1.1382385,1.0
2025-02-05,-0.015856363,-0.0019557346,-1.0,0.015856363,-0.015856363,1.156287,1.0
2025-02-06,-0.023511656,-0.0031831088,-1.0,0.023511656,-0.023511656,1.1834731,1.0
2025-02-07,-0.00850764,-0.0027841446,-1.0,0.00850764,-0.00850764,1.1935416,1.0
2025-02-10,-0.021053534,-0.0017100811,-1.0,0.021053534,-0.021053534,1.2186699,1.0
2025-02-11,-0.004624495,-0.0010811276,-1.0,0.004624495,-0.004624495,1.2243056,1.0
2025-02-12,-0.00048798087,-3.444904e-05,-1.0,0.00048798087,-0.00048798087,1.224903,1.0
2025-02-13,0.0013414344,0.0013375646,1.0,0.0013414344,0.0013414344,1.2265462,1.0
2025-02-14,-0.004029953,0.0019813562,1.0,-0.004029953,-0.004029953,1.2216033,1.0
2025-02-17,-0.008232576,0.0027032024,1.0,-0.008232576,-0.008232576,1.2115463,1.0
2025-02-18,0.0028337566,0.0030804654,1.0,0.0028337566,0.0028337566,1.2149795,1.0
2025-02-19,-0.010761419,0.003362419,1.0,-0.010761419,-0.010761419,1.2019047,1.0
2025-02-20,-0.002864542,0.0029476644,1.0,-0.002864542,-0.002864542,1.1984618,1.0
2025-02-21,0.002491371,0.0030731861,1.0,0.002491371,0.002491371,1.2014476,1.0
2025-02-24,0.0073133456,0.0027949866,1.0,0.0073133456,0.0073133456,1.2102343,1.0
2025-02-25,-0.008060105,0.0024923035,1.0,-0.008060105,-0.008060105,1.2004796,1.0
2025-02-27,-0.016570823,0.0020303426,1.0,-0.016570823,-0.016570823,1.1805867,1.0
2025-02-28,0.006183432,0.0018493416,1.0,0.006183432,0.006183432,1.1878867,1.0
2025-03-03,-0.0065632644,0.0015013781,1.0,-0.0065632644,-0.0065632644,1.1800903,1.0
2025-03-04,0.025504507,0.001792024,1.0,0.025504507,0.025504507,1.2101879,1.0
2025-03-05,0.0016035918,0.0025424105,1.0,0.0016035918,0.0016035918,1.2121285,1.0
2025-03-06,-0.0044466457,0.0015884808,1.0,-0.0044466457,-0.0044466457,1.2067386,1.0
2025-03-07,0.0027196808,0.0008736611,1.0,0.0027196808,0.0027196808,1.2100205,1.0
