date,actual,predicted,position,strategy_ret,buyhold_ret,strategy_equity,buyhold_equity
2024-04-01,-0.008448189,-0.00063687924,-1.0,0.008448189,-0.008448189,1.0084482,0.9915518
2024-04-02,0.016217854,0.00028788892,1.0,0.016217854,0.016217854,1.024803,0.99986297
2024-04-03,0.014087268,0.0014276181,1.0,0.014087268,0.014087268,1.0392398,0.9999981
2024-04-04,-0.0060257465,0.0021970535,1.0,-0.0060257465,-0.0060257465,1.0329776,1.0
2024-04-05,-0.001685169,0.0026446283,1.0,-0.001685169,-0.001685169,1.0312369,1.0
2024-04-08,-0.0065663797,0.0025376847,1.0,-0.0065663797,-0.0065663797,1.0244653,1.0
2024-04-09,0.009607683,0.0025387006,1.0,0.009607683,0.009607683,1.0343081,1.0
2024-04-10,0.0041947267,0.0025887492,1.0,0.0041947267,0.0041947267,1.0386467,1.0
2024-04-12,-0.0151589895,0.0026736993,1.0,-0.0151589895,-0.0151589895,1.0229019,1.0
2024-04-15,-0.017507514,0.002860562,1.0,-0.017507514,-0.017507514,1.0049934,1.0
2024-04-16,-0.002792537,0.0026393246,1.0,-0.002792537,-0.002792537,1.002187,1.0
2024-04-18,-0.009313107,0.002621512,1.0,-0.009313107,-0.009313107,0.9928535,1.0
2024-04-19,0.009986109,0.0026288307,1.0,0.009986109,0.009986109,1.0027683,1.0
2024-04-22,0.0026101174,0.0025990761,1.0,0.0026101174,0.0026101174,1.0053856,1.0
2024-04-23,-0.011329363,0.0026825953,1.0,-0.011329363,-0.011329363,0.99399525,1.0
2024-04-24,0.0055055665,0.0027285456,1.0,0.0055055665,0.0055055665,0.99946773,1.0
2024-04-25,-0.00804083,0.0026952445,1.0,-0.00804083,-0.00804083,0.9914312,1.0
2024-04-26,0.012702536,0.002879195,1.0,0.012702536,0.012702536,1.0040249,1.0
2024-04-29,-0.012885773,0.0029879636,1.0,-0.012885773,-0.012885773,0.99108726,1.0
2024-04-30,0.01110137,0.002853224,1.0,0.01110137,0.01110137,1.0020897,1.0
2024-05-02,-0.005164386,0.0029596272,1.0,-0.005164386,-0.005164386,0.99691457,1.0
2024-05-03,0.020002093,0.00304713,1.0,0.020002093,0.020002093,1.016855,1.0
2024-05-06,0.014658304,0.0030627148,1.0,0.014658304,0.014658304,1.0317605,1.0
2024-05-07,-0.00050267566,0.003136086,1.0,-0.00050267566,-0.00050267566,1.0312419,1.0
2024-05-08,-0.00422057,0.0032432615,1.0,-0.00422057,-0.00422057,1.0268894,1.0
2024-05-09,-0.016883424,0.0030780397,1.0,-0.016883424,-0.016883424,1.009552,1.0
2024-05-10,0.01374731,0.0031374544,1.0,0.01374731,0.01374731,1.0234307,1.0
2024-05-13,-0.01187429,0.003427146,1.0,-0.01187429,-0.01187429,1.0112782,1.0
2024-05-14,-0.0053459737,0.002652774,1.0,-0.0053459737,-0.0053459737,1.0058719,1.0
2024-05-15,0.012523808,0.0029205058,1.0,0.012523808,0.012523808,1.0184692,1.0
2024-05-16,-0.017285477,0.0034637866,1.0,-0.017285477,-0.017285477,1.0008645,1.0
2024-05-17,-0.003631816,0.0029636933,1.0,-0.003631816,-0.003631816,0.9972295,1.0
2024-05-21,0.0030839418,0.0028735634,1.0,0.0030839418,0.0030839418,1.0003049,1.0
2024-05-22,0.015908798,0.0029632063,1.0,0.015908798,0.015908798,1.0162187,1.0
2024-05-23,-0.011352303,0.002986573,1.0,-0.011352303,-0.011352303,1.0046822,1.0
2024-05-24,-0.0006366691,0.0030303216,1.0,-0.0006366691,-0.0006366691,1.0040425,1.0
2024-05-27,-0.0018603104,0.0030247262,1.0,-0.0018603104,-0.0018603104,1.0021746,1.0
2024-05-28,-0.009485174,0.002993071,1.0,-0.009485174,-0.009485174,0.9926688,1.0
2024-05-29,-0.017918825,0.0029606675,1.0,-0.017918825,-0.017918825,0.97488135,1.0
2024-05-30,-0.017591843,0.0029016123,1.0,-0.017591843,-0.017591843,0.9577314,1.0
2024-05-31,0.00865231,0.0028001652,1.0,0.00865231,0.00865231,0.966018,1.0
2024-06-03,0.0032759653,0.0026577455,1.0,0.0032759653,0.0032759653,0.96918267,1.0
2024-06-04,0.00842994,0.0026997314,1.0,0.00842994,0.00842994,0.9773528,1.0
2024-06-05,0.02216046,0.0030188626,1.0,0.02216046,0.02216046,0.99901134,1.0
2024-06-06,0.01645491,0.0028035908,1.0,0.01645491,0.01645491,1.01545,1.0
2024-06-07,-0.009093751,0.0030668413,1.0,-0.009093751,-0.009093751,1.0062157,1.0
2024-06-10,-0.0017118404,0.0031216764,1.0,-0.0017118404,-0.0017118404,1.0044932,1.0
2024-06-11,-0.0053230193,0.0031236277,1.0,-0.0053230193,-0.0053230193,0.99914634,1.0
2024-06-12,0.012062814,0.0030497801,1.0,0.012062814,0.012062814,1.0111989,1.0
2024-06-13,-0.011958265,0.0029218,1.0,-0.011958265,-0.011958265,0.9991067,1.0
2024-06-14,-0.004433196,0.0029918104,1.0,-0.004433196,-0.004433196,0.9946774,1.0
2024-06-18,-0.003518498,0.0027270531,1.0,-0.003518498,-0.003518498,0.9911776,1.0
2024-06-19,-0.0038080288,0.0030540482,1.0,-0.0038080288,-0.0038080288,0.9874032,1.0
2024-06-20,0.0061858273,0.0030035188,1.0,0.0061858273,0.0061858273,0.9935111,1.0
2024-06-21,0.0015862503,0.0030862573,1.0,0.0015862503,0.0015862503,0.99508697,1.0
2024-06-24,0.0056562847,0.0031883596,1.0,0.0056562847,0.0056562847,1.0007154,1.0
2024-06-25,0.0045228987,0.0030430225,1.0,0.0045228987,0.0045228987,1.0052415,1.0
2024-06-26,0.020103311,0.0029467004,1.0,0.020103311,0.020103311,1.0254502,1.0
2024-06-27,-0.0076546622,0.0029581906,1.0,-0.0076546622,-0.0076546622,1.0176008,1.0
2024-06-28,0.018789278,0.00316124,1.0,0.018789278,0.018789278,1.0367208,1.0
2024-07-01,0.009805453,0.0030330587,1.0,0.009805453,0.009805453,1.0468862,1.0
2024-07-02,-0.013065994,0.0045192,1.0,-0.013065994,-0.013065994,1.0332077,1.0
2024-07-03,0.013949261,0.0070580896,1.0,0.013949261,0.013949261,1.0476202,1.0
2024-07-04,-0.002278239,0.009664502,1.0,-0.002278239,-0.002278239,1.0452334,1.0
2024-07-05,-0.0046470365,0.009168648,1.0,-0.0046470365,-0.0046470365,1.0403762,1.0
2024-07-08,-0.0019301443,0.008136186,1.0,-0.0019301443,-0.0019301443,1.0383681,1.0
2024-07-09,-0.019342715,0.005704977,1.0,-0.019342715,-0.019342715,1.0182832,1.0
2024-07-10,0.003714943,0.0038979603,1.0,0.003714943,0.003714943,1.0220661,1.0
2024-07-11,0.06422077,0.0007253535,1.0,0.06422077,0.06422077,1.0877041,1.0
2024-07-12,-0.0035314753,-0.00016956183,-1.0,0.0035314753,-0.0035314753,1.0915452,1.0
2024-07-15,0.0022160872,0.0003467959,1.0,0.0022160872,0.0022160872,1.0939642,1.0
2024-07-16,0.032284304,-0.00029435277,-1.0,-0.032284304,0.032284304,1.0586463,1.0
2024-07-18,-0.0007317527,-0.00011300773,-1.0,0.0007317527,-0.0007317527,1.059421,1.0
2024-07-19,-0.0035041338,-0.00040821487,-1.0,0.0035041338,-0.0035041338,1.0631334,1.0
2024-07-22,0.0034924066,0.0037524402,1.0,0.0034924066,0.0034924066,1.0668463,1.0
2024-07-23,0.0009061815,-5.0698174e-05,-1.0,-0.0009061815,0.0009061815,1.0658795,1.0
2024-07-24,0.003766466,-0.00045704597,-1.0,-0.003766466,0.003766466,1.0618649,1.0
2024-07-25,0.015005419,-0.0006525236,-1.0,-0.015005419,0.015005419,1.0459311,1.0
2024-07-26,-0.0015395432,-0.001172556,-1.0,0.0015395432,-0.0015395432,1.0475414,1.0
2024-07-29,-0.0036014316,-0.0017840617,-1.0,0.0036014316,-0.0036014316,1.051314,1.0
2024-07-30,0.004571152,-0.0016847275,-1.0,-0.004571152,0.004571152,1.0465083,1.0
2024-07-31,0.002675683,-0.001837073,-1.0,-0.002675683,0.002675683,1.0437082,1.0
2024-08-01,-0.026280072,-0.0020589377,-1.0,0.026280072,-0.026280072,1.071137,1.0
2024-08-02,-0.030340707,-0.0020395117,-1.0,0.030340707,-0.030340707,1.1036359,1.0
2024-08-05,0.0038793823,-0.0019171465,-1.0,-0.0038793823,0.0038793823,1.0993545,1.0
2024-08-06,0.006987842,-0.0020177448,-1.0,-0.006987842,0.006987842,1.0916723,1.0
2024-08-07,-0.0066643935,-0.0018970313,-1.0,0.0066643935,-0.0066643935,1.0989476,1.0
2024-08-08,0.013379188,-0.0017423799,-1.0,-0.013379188,0.013379188,1.0842446,1.0
2024-08-09,-0.007858179,-0.0017165873,-1.0,0.007858179,-0.007858179,1.0927647,1.0
2024-08-12,0.00030998068,0.0049424884,1.0,0.00030998068,0.00030998068,1.0931034,1.0
2024-08-13,0.023151563,0.005169031,1.0,0.023151563,0.023151563,1.1184105,1.0
2024-08-14,0.027735736,-0.00037122064,-1.0,-0.027735736,0.027735736,1.0873905,1.0
2024-08-16,0.016607204,-0.0034504705,-1.0,-0.016607204,0.016607204,1.069332,1.0
2024-08-19,0.0073889457,-0.004509514,-1.0,-0.0073889457,0.0073889457,1.0614308,1.0
2024-08-20,0.0062150806,-0.005161191,-1.0,-0.0062150806,0.0062150806,1.0548339,1.0
2024-08-21,-0.010935055,-0.0066964836,-1.0,0.010935055,-0.010935055,1.0663686,1.0
2024-08-22,-0.00849898,-0.0077769686,-1.0,0.00849898,-0.00849898,1.0754317,1.0
2024-08-23,0.008598904,-0.007047881,-1.0,-0.008598904,0.008598904,1.0661842,1.0
2024-08-26,-0.0011779009,-0.006815977,-1.0,0.0011779009,-0.0011779009,1.06744,1.0
2024-08-27,0.001977172,-0.006054604,-1.0,-0.001977172,0.001977172,1.0653296,1.0
2024-08-28,0.0012751768,-0.0051049697,-1.0,-0.0012751768,0.0012751768,1.063971,1.0
2024-08-29,0.009255005,-0.004796961,-1.0,-0.009255005,0.009255005,1.054124,1.0
2024-08-30,-0.0072068223,-0.0043757004,-1.0,0.0072068223,-0.0072068223,1.0617208,1.0
2024-09-02,-0.0019262286,-0.003908457,-1.0,0.0019262286,-0.0019262286,1.0637659,1.0
2024-09-03,-0.007362472,-0.0026580603,-1.0,0.007362472,-0.007362472,1.0715978,1.0
2024-09-04,-0.0007370063,-0.002266388,-1.0,0.0007370063,-0.0007370063,1.0723876,1.0
2024-09-05,-0.0042988015,-0.0019117625,-1.0,0.0042988015,-0.0042988015,1.0769975,1.0
2024-09-06,-0.0016167677,-0.0013529334,-1.0,0.0016167677,-0.0016167677,1.0787387,1.0
