date,actual,predicted,position,strategy_ret,buyhold_ret,strategy_equity,buyhold_equity
2024-04-01,0.0046836203,0.0043339473,1.0,0.0046836203,0.0046836203,1.0046836,1.0046836
2024-04-02,-0.01163574,0.011048674,1.0,-0.01163574,-0.01163574,0.9929934,0.9999455
2024-04-03,0.018745769,0.009083778,1.0,0.018745769,0.018745769,1.0116079,0.999999
2024-04-04,-0.0075094993,0.010568817,1.0,-0.0075094993,-0.0075094993,1.0040113,1.0
2024-04-05,-0.0014792877,0.005995138,1.0,-0.0014792877,-0.0014792877,1.002526,1.0
2024-04-08,-0.018726302,0.0009780084,1.0,-0.018726302,-0.018726302,0.9837524,1.0
2024-04-09,0.008619171,0.0030119945,1.0,0.008619171,0.008619171,0.9922316,1.0
2024-04-10,-0.025074666,0.0034482598,1.0,-0.025074666,-0.025074666,0.96735173,1.0
2024-04-12,-0.0051801815,0.0055270316,1.0,-0.0051801815,-0.0051801815,0.96234065,1.0
2024-04-15,0.012502773,0.010713708,1.0,0.012502773,0.012502773,0.9743726,1.0
2024-04-16,-0.033694364,0.012299983,1.0,-0.033694364,-0.033694364,0.94154173,1.0
2024-04-18,0.010708035,0.0038510442,1.0,0.010708035,0.010708035,0.95162386,1.0
2024-04-19,0.00941377,0.01534299,1.0,0.00941377,0.00941377,0.9605822,1.0
2024-04-22,0.010028018,0.005159144,1.0,0.010028018,0.010028018,0.9702149,1.0
2024-04-23,-0.00642023,0.0023514838,1.0,-0.00642023,-0.00642023,0.96398586,1.0
2024-04-24,-0.010764771,0.0015382101,1.0,-0.010764771,-0.010764771,0.95360875,1.0
2024-04-25,0.003829014,-0.0013139541,-1.0,-0.003829014,0.003829014,0.9499574,1.0
2024-04-26,0.0055775153,-0.0028816625,-1.0,-0.0055775153,0.0055775153,0.944659,1.0
2024-04-29,-0.0043369327,0.0014743102,1.0,-0.0043369327,-0.0043369327,0.94056207,1.0
2024-04-30,-0.0058120606,-0.0037276535,-1.0,0.0058120606,-0.0058120606,0.94602865,1.0
2024-05-02,-0.009729247,0.0006143488,1.0,-0.009729247,-0.009729247,0.9368245,1.0
