ticker,naive_sharpe,realistic_sharpe,kelly_sharpe,realistic_mdd,kelly_mdd,cost_drag,n_trades,total_cost,wf_avg_sharpe,wf_consistency,beats_bh
BHARTIARTL,1.533746471855855,0.9246131300633641,-3.6558689808164933,-0.16095961012038482,-0.010164863736684526,-0.1742684970249877,41,0.08810156274847714,0.8397863458030587,0.6666666666666666,1
TITAN,1.0197735542195085,0.4863252475796177,0.4880800687938774,-0.20657810293741083,-0.061268128346866374,-0.1538281399270165,65,0.1403319003975634,1.5957903101953124,0.7777777777777778,1
ICICIBANK,0.9495946702193553,0.432940208837316,-4.279990882142472,-0.19351685159495152,-0.009180714218068363,-0.12034691222395355,39,0.08374903461105328,-0.4172363775633485,0.3333333333333333,1
MARUTI,0.3348434738448787,0.36283598058732175,-0.05683185037497774,-0.29551591569746727,-0.16475776469649323,0.00716327707014397,27,0.05763386578651014,1.2471200455001907,0.8888888888888888,1
SBIN,-0.5460935564247179,0.25017694684631675,-2.4228778632601013,-0.32734112976876,-0.01613746996665284,0.20096176870009153,55,0.11856925971044414,0.17039450420551247,0.5555555555555556,0
RELIANCE,-0.24779347055344247,-0.033747394442735446,-2.105215527410788,-0.2761672477357677,-0.08429311125630046,0.04616301371353049,51,0.10986420343559643,0.12293918222888126,0.4444444444444444,1
KOTAKBANK,-0.14331233394311374,-0.059839357111350196,-6.548780527666494,-0.27902702782014926,-0.0081407907584651,0.020019767306419745,64,0.13815563632885147,-0.33150040330458247,0.4444444444444444,0
ITC,0.21925388189225373,-0.13197338652853235,-3.924252095868363,-0.23906372400980866,-0.02405216810654696,-0.06933772090323509,35,0.07529397833620556,-0.6533127936813066,0.3333333333333333,1
HINDUNILVR,0.28977105995982577,-0.17518148419779667,-2.0555961803091285,-0.26416929208027257,-0.04839423934883991,-0.10299629243471542,98,0.21214861466505705,0.10083166254265478,0.6666666666666666,1
TCS,-0.540454119512351,-0.30158315701591787,-4.413405769077531,-0.3009678934985813,-0.019224213809874494,0.05364443115322037,47,0.1014091471607487,-0.12512694480230457,0.5555555555555556,1
AXISBANK,-0.18614566748070657,-0.4861830834709265,-2.5734989892919082,-0.4587675607311831,-0.09245670994668052,-0.06977778626828379,63,0.13597937226013956,-0.5946333046308674,0.4444444444444444,0
INFY,-0.3468161742837183,-0.6377589377373408,-7.660158881665702,-0.47704833347201586,-0.03239486025066623,-0.07005277570706858,56,0.12099552377915605,-0.07970791288280256,0.4444444444444444,0
ASIANPAINT,-0.703962130269453,-0.6406148333343362,-3.2963163782724267,-0.3370875248851411,-0.12095399310584398,0.012725451688030964,97,0.20997235059634514,-0.6683587193255328,0.3333333333333333,0
HDFCBANK,-0.7990506463804404,-0.717489665910149,-0.8765759056782328,-0.31804061261014405,-0.18290352316796943,0.014985958447214509,58,0.1253480519165799,-1.5137733124680404,0.1111111111111111,0
LT,-0.47978165067271045,-1.24417057381803,-2.8587865230172564,-0.5284702343703366,-0.05705760055251892,-0.16707965149243476,84,0.18193091770309006,-1.2973816853476348,0.5555555555555556,0
